ticker,selected_weeks,avg_rank,avg_ml_score,avg_technical_score,avg_score
GOOGL,15,3.176470588235294,0.07413280405688481,0.35921539785018486,0.703392469648183
AMAT,13,4.294117647058823,0.05081773953108598,1.000325047093046,0.5592609597621219
META,11,4.882352941176471,0.08109663351207325,-0.2259333771835042,0.5152762390195469
TSLA,9,8.705882352941176,0.1466565776488305,-0.4564582155018978,0.7506073309412675
ISRG,8,10.941176470588236,0.03239680112457659,-0.13443554276375008,-0.01985385668786785
TXN,7,6.352941176470588,0.05344310720333671,0.5959072878272071,0.31720514363295405
NFLX,7,9.529411764705882,0.058438753403921614,-0.15374349975479643,0.17669523558356298
CSCO,6,5.9411764705882355,0.057491625226688436,0.39963910660639784,0.37082923960335945
AMD,4,10.588235294117647,0.059971238844288344,-0.12161480478602066,-0.029996517752878846
COST,4,10.058823529411764,0.03618004364696297,0.6323462263721146,-0.06281364192118008
AMZN,1,13.058823529411764,0.039177481379775676,0.048384386642014644,-0.2013242952721977
AAPL,0,9.235294117647058,0.05227562495442239,0.13502509825802833,0.060165521568496076
NVDA,0,9.647058823529411,0.050589175806791536,0.11553388872672576,0.04980985715069012
MSFT,0,11.352941176470589,0.05961044167590344,-0.4313671120622224,-0.05937335358608681
AMGN,0,11.411764705882353,0.02808657888121613,0.49274711347954064,-0.07681126612143804
AVGO,0,13.0,0.04943272845242204,-0.18378387017297232,-0.2054783204572578
QCOM,0,13.823529411764707,0.05431363430126048,-0.5087715191165063,-0.24226771554073187
ADBE,0,16.176470588235293,0.049240132325691216,-0.8224387780896787,-0.5415624733050646
INTU,0,18.88235294117647,0.030912861022538457,-1.2148862915027718,-1.0114762648675757
PEP,0,18.941176470588236,-0.01973267780235203,0.47430945807886077,-1.0522842913979036
