ticker,rebalance_date,status,sentiment_score,confidence_score,materiality_score,n_news,positive_hits,negative_hits,source,composite_signal,date,prior_momentum,rank,selected,target_weight
AMAT,2026-01-02,ok,0.3,0.7,0.8,12,strong; growth; raised; expansion,risk,news_keyword_score,0.168,2026-01-02,0.5889772361549723,1,True,0.521134132268775
AMD,2026-01-02,ok,-0.2,0.7,0.8,12,strong; growth; surge; partnership,cut; risk; concerns; concern; competition,news_keyword_score,-0.112,2026-01-02,0.4144376096841962,2,True,1.309636882454479e-06
GOOGL,2026-01-02,ok,0.6,0.7,0.8,12,beat; growth; surge; rally; cloud growth; ai comeback; strengthening,slow,news_keyword_score,0.336,2026-01-02,0.3382530634117018,3,True,0.4788645580943426
TSLA,2026-01-02,ok,-0.6,0.7,0.8,12,strong; expansion; exceeded expectations; bestselling,weakening demand; miss; misses; weak; weakening; delay; delays; concerns,news_keyword_score,-0.336,2026-01-02,0.2982679247826261,4,False,0.0
CSCO,2026-01-02,ok,0.26,0.7,0.8,12,strong; growth; rally; expansion,sell,news_keyword_score,0.1456,2026-01-02,0.1587191346657013,5,False,0.0
AMAT,2026-01-09,ok,-0.04,0.7,0.8,12,strong; growth; raises; rally; profit,risk; fell; falls; sell; competition,news_keyword_score,-0.0224,2026-01-09,0.6509218377881805,1,True,0.7847287721804862
GOOGL,2026-01-09,ok,-0.1,0.7,0.8,12,record; surge; rally,weak; concerns; concern,news_keyword_score,-0.056,2026-01-09,0.29427632311666474,2,True,1.0558316135545886e-05
TXN,2026-01-09,ok,0.06,0.7,0.8,12,strong; record; rally,cut; dipped,news_keyword_score,0.0336,2026-01-09,0.06695877187861288,3,True,0.21526066950337816
AMZN,2026-01-09,ok,0.46,0.7,0.8,12,strong; growth; raises; raised; surge; partnership; launch,concerns; concern,news_keyword_score,0.2576,2026-01-09,0.06420948485777944,4,False,0.0
TSLA,2026-01-09,ok,-0.44,0.7,0.8,12,surge,concerns; concern; decline; sell; slow,news_keyword_score,-0.2464,2026-01-09,0.06282308728716335,5,False,0.0
