date,portfolio_value
2026-01-04,1000000.0
2026-01-05,1000000.0
2026-01-06,999000.9990009991
2026-01-07,1001381.1755955465
2026-01-08,992407.2945242429
2026-01-09,1014331.0134460785
2026-01-12,1020780.8674361776
2026-01-13,1017146.6804588812
2026-01-14,1009792.9516771612
2026-01-15,1027884.7804069744
2026-01-16,1036790.5781636639
2026-01-20,1013402.7430321035
2026-01-21,1030123.702212003
2026-01-22,1031601.6485741029
2026-01-23,1034387.4479183402
2026-01-26,1038094.9822169725
2026-01-27,1058721.944981705
2026-01-28,1065561.9608605881
2026-01-29,1067298.2388460832
2026-01-30,1038550.1538321533
2026-02-02,1050414.4167437665
2026-02-03,1030729.5641670693
2026-02-04,997263.6771247499
2026-02-05,995478.5138501246
2026-02-06,1026444.4086638807
2026-02-09,1038454.7381434741
2026-02-10,1034221.3789494252
2026-02-11,1049206.590324775
2026-02-12,1022819.5049725956
2026-02-13,1054956.3148585418
2026-02-17,1059015.4707502953
2026-02-18,1074491.6686903778
2026-02-19,1072358.7611155906
2026-02-20,1084294.7771355812
2026-02-23,1074268.3213582956
2026-02-24,1080542.1994106465
2026-02-25,1103634.4773924558
2026-02-26,1079831.9378528746
2026-02-27,1074742.701441634
2026-03-02,1074040.618070205
2026-03-03,1046297.5378981737
2026-03-04,1060705.2728936884
2026-03-05,1047140.1319908325
2026-03-06,1017566.8412444588
2026-03-09,1038596.968530487
2026-03-10,1045649.779995081
2026-03-11,1051135.7415736644
2026-03-12,1025443.7362940111
2026-03-13,1025695.1864972829
2026-03-16,1037297.3432415682
2026-03-17,1046998.9788317361
2026-03-18,1033388.093240734
2026-03-19,1031318.0337486281
2026-03-20,1012070.694254913
2026-03-23,1020158.3871731502
2026-03-24,1028242.4708236385
2026-03-25,1027458.1304222028
2026-03-26,978317.7995734272
2026-03-27,964163.5721016513
2026-03-30,945384.3889705777
2026-03-31,986437.867294353
2026-04-01,1007737.7026542934
2026-04-02,1002180.6479638172
2026-04-06,1009788.9862190234
2026-04-07,1011086.0715778999
2026-04-08,1044267.0672686513
2026-04-09,1045826.7816848072
2026-04-10,1041962.522535545
2026-04-13,1048282.9752101263
2026-04-14,1060122.595072576
2026-04-15,1067856.7611825825
2026-04-16,1066470.2873087898
2026-04-17,1082464.6834187687
2026-04-20,1073901.4124600617
2026-04-21,1070960.5653881065
2026-04-22,1087508.3930038477
2026-04-23,1081288.0160888406
2026-04-24,1098874.7393575164
2026-04-27,1101732.1032169673
2026-04-28,1086116.7285753163
2026-04-29,1099401.1758264906
2026-04-30,1125665.4429123558
