date,portfolio_value
2026-01-04,1000000.0
2026-01-05,1000000.0
2026-01-06,999000.999000999
2026-01-07,1002134.3184735264
2026-01-08,994113.3941687014
2026-01-09,1014881.2828670967
2026-01-12,1021076.9589871682
2026-01-13,1017322.9419174743
2026-01-14,1009094.8380217096
2026-01-15,1029117.2371541159
2026-01-16,1038338.1114310096
2026-01-20,1014464.4280896175
2026-01-21,1031161.1727872384
2026-01-22,1033139.2677313407
2026-01-23,1035569.6526353642
2026-01-26,1039738.9957791228
2026-01-27,1060024.733288192
2026-01-28,1066793.4424582897
2026-01-29,1068456.4808388401
2026-01-30,1040247.0976481882
2026-02-02,1052141.5426837222
2026-02-03,1031809.2014819628
2026-02-04,997200.1690954338
2026-02-05,995709.3237092075
2026-02-06,1028090.4173707134
2026-02-09,1040894.370140366
2026-02-10,1036656.584184801
2026-02-11,1051674.4975689996
2026-02-12,1025232.1062845809
2026-02-13,1057420.6074071964
2026-02-17,1061483.9244913145
2026-02-18,1076996.2131537616
2026-02-19,1074858.3343636654
2026-02-20,1086822.1734182194
2026-02-23,1076776.240395229
2026-02-24,1083145.1879065176
2026-02-25,1106375.1941973618
2026-02-26,1082428.1267956926
2026-02-27,1077313.7921360391
2026-03-02,1076629.9685394163
2026-03-03,1048776.194289353
2026-03-04,1063255.8222349416
2026-03-05,1049639.7246684763
2026-03-06,1019923.5450203368
2026-03-09,1041055.8869387715
2026-03-10,1048150.4257626762
2026-03-11,1053662.9414184152
2026-03-12,1027877.3327150947
2026-03-13,1028152.2950492636
2026-03-16,1039783.2520078612
2026-03-17,1049530.7182175813
2026-03-18,1035905.835286262
2026-03-19,1033807.3230527119
2026-03-20,1014497.7549661321
2026-03-23,1022584.9000299708
2026-03-24,1030629.0360401494
2026-03-25,1029861.1343267593
2026-03-26,980611.5480347562
2026-03-27,966386.9534250796
2026-03-30,947625.2372843652
2026-03-31,988776.0520756291
2026-04-01,1010126.3747294435
2026-04-02,1004556.1484138372
2026-04-06,1012182.5210536504
2026-04-07,1013482.680935081
2026-04-08,1046742.3265914371
2026-04-09,1048305.7380481017
2026-04-10,1044432.3193229182
2026-04-13,1050767.7535667715
2026-04-14,1062640.6001828052
2026-04-15,1070395.4569760356
2026-04-16,1069006.776196087
2026-04-17,1085039.0585973198
2026-04-20,1076455.807639281
2026-04-21,1073388.8334184831
2026-04-22,1090037.9548372384
2026-04-23,1083842.1569279814
2026-04-24,1101507.0061208042
2026-04-27,1104453.3325086741
2026-04-28,1088799.3899821008
2026-04-29,1102116.6490984897
2026-04-30,1128445.7882452777
