date,ticker,ml_datadate,ml_available_from,ml_bucket,ml_model,ml_score,ml_ensemble_score,z_ml_score,mom_20d,mom_60d,vol_20d,drawdown_60d,z_mom_20d,z_mom_60d,z_vol_20d,z_drawdown_60d,technical_score,z_technical_score,finrl_score,rank,selected,financials_available_as_of,latest_actual_year,business_quality_score,valuation_score,catalyst_score,risk_score,news_count,positive_catalysts,negative_catalysts,neutral_catalysts,catalyst_articles_used,risk_term_hits,risk_weighted_hits,news_start_date,news_end_date,top_news_titles,finrobot_score,finrobot_decision,finrobot_multiplier,finrobot_rationale,evidence_path,initial_weight,after_finrobot_raw_weight,after_finrobot_weight
2026-01-02,TSLA,2025-09-30,2025-12-01,cyclical,RF,0.2430436365000004,0.1896896357886146,3.7035993048749862,-0.019407223664055,0.0114987901554826,0.0239439013065967,-0.1649977572964753,0.0848685819687112,-0.215352488500423,1.3015573863333108,-0.48660113397436,-0.2853196595350962,-0.4206114659751721,2.053914996534923,1,1,2025-01-29,2024A,0.3985,0.2,0.6818,0.5745,355,11,9,335,355,69,77.6,2025-12-03,2026-01-02,Elon Musk gave nearly $100 million worth of Tesla shares to charity for 'tax planning' | Tesla publishes analyst forecasts suggesting sales set to fall | Is Tesla Warning Investors About What's to Come?,0.4231,reject,0.0,"quality=0.40, valuation=0.20, catalyst=0.68, risk=0.57",finrobot_outputs/TSLA/analysis,0.2,0.0,0.0
2026-01-02,GOOGL,2025-09-30,2025-12-01,growth_tech,Stacking,0.0701848040119471,0.085578750771809,0.2993308814528237,-0.0133712869739422,0.2831875056110702,0.0138212216249939,-0.0820118625073844,0.2381991225211475,1.9398985938870976,-0.2926091471353987,0.8449337240279887,0.902628901342052,1.3306340896510822,0.7118521647321272,2,1,2025-02-04,2024A,0.8717,0.95,0.86,0.7805,354,31,7,316,354,40,51.1,2025-12-03,2026-01-02,"Google's 2026 Test: Slowing EPS Will Put Cloud Growth In The Spotlight | Alphabet Isn't Dead, It's Our Top 2026 Pick | MrBeast Warns YouTube Won't Be Easy To Beat When It Comes To 'Competing On Revenue' For Elon Musk's X: 'They're The Best Platform'",0.8798,strong_keep,1.2,"quality=0.87, valuation=0.95, catalyst=0.86, risk=0.78",finrobot_outputs/GOOGL/analysis,0.2,0.24,0.2857142857142857
2026-01-02,AMAT,2025-09-30,2025-12-01,growth_tech,Stacking,0.0506727669886239,0.0629257916240102,-0.0849376604496226,0.0008934763486971,0.2733836525406039,0.0203647943693521,-0.097692096866545,0.6005660563386785,1.8621266300929495,0.7379030301226006,0.5933394177433855,0.8406192303239522,1.2392209053158023,0.4447257658565474,3,1,2025-12-12,2025A,0.7019,0.68,0.9462,0.25,49,11,0,38,49,19,18.7,2025-12-03,2026-01-02,NVDA vs. AMAT: Which Semiconductor Stock Is the Better Buy Now? | AI boom seen lifting chipmaking equipment sales 9% to $126 billion in 2026 | What Is Going On With AMAT Stock?,0.7001,keep,1.0,"quality=0.70, valuation=0.68, catalyst=0.95, risk=0.25",finrobot_outputs/AMAT/analysis,0.2,0.2,0.23809523809523808
2026-01-02,AMD,2025-09-30,2025-12-01,growth_tech,Stacking,0.0750588132744299,0.1126243668211562,0.3953192413700653,0.0269760797451221,0.0565458230082864,0.0248017563313198,-0.2505201427224757,1.263140878294602,0.1419964214517184,1.4366563733601347,-1.8588347843272064,0.1535731643892013,0.2263939117039444,0.3277491095036169,4,1,2025-02-05,2024A,0.61,0.4,0.8515,0.6031,163,25,6,132,163,31,33.2,2025-12-03,2026-01-02,Advanced Micro Devices Is the Most Compelling AI Trade for 2026 | AMD: Let's Talk About This Pick In '26 | AMD: Ultimate Gift For 2026 (Rating Upgrade),0.6051,keep,1.0,"quality=0.61, valuation=0.40, catalyst=0.85, risk=0.60",finrobot_outputs/AMD/analysis,0.2,0.2,0.23809523809523808
2026-01-02,CSCO,2025-09-30,2025-12-01,growth_tech,Stacking,0.0560773929112482,0.0492385571467366,0.021500622766658,-0.0167601090064198,0.1080866853989541,0.0101424241914807,-0.0529595225133587,0.1521130780921275,0.5508595546458955,-0.8719632249470038,1.3110876831664309,0.5155493274216081,0.7600105746048077,0.3169046035019179,5,1,2025-09-03,2025A,0.6592,0.77,0.9,0.25,38,5,0,33,38,15,14.9,2025-12-03,2026-01-02,Cisco's AI-Push Aids Networking Revenue: Is There More Upside Ahead? | Fortinet vs. Cisco: Which Cybersecurity Leader Has the Edge Now? | Why Is Cisco (CSCO) Up 2.4% Since Last Earnings Report?,0.6941,keep,1.0,"quality=0.66, valuation=0.77, catalyst=0.90, risk=0.25",finrobot_outputs/CSCO/analysis,0.2,0.2,0.23809523809523808
2026-01-09,TSLA,2025-09-30,2025-12-01,cyclical,RF,0.2430436365000004,0.1896896357886146,3.7035993048749862,-0.0142651506640184,0.0367393996133473,0.0254722658016565,-0.1649977572964752,-0.0848000286693329,-0.1350167476925067,1.2006458941705809,-0.4322987011491636,-0.3045026274006139,-0.4205920445559878,2.053922765102597,1,1,2025-01-29,2024A,0.4185,0.2,0.6394,0.5218,395,15,16,364,395,88,91.9,2025-12-10,2026-01-09,"Tesla's Story Has Faded, Gordon Johnson Says—Here's The 'Generous' Valuation Musk Probably Won't Retweet | Tesla stock: what's driving the spike in January options volume? | Should You Forget Tesla and Buy 3 Artificial Intelligence (AI) Stocks Instead?",0.4184,reject,0.0,"quality=0.42, valuation=0.20, catalyst=0.64, risk=0.52",finrobot_outputs/TSLA/analysis,0.2,0.0,0.0
2026-01-09,GOOGL,2025-09-30,2025-12-01,growth_tech,Stacking,0.0701848040119471,0.085578750771809,0.2993308814528237,0.0261078885978984,0.3395189289235027,0.0136849804207841,-0.0820118625073844,0.5809864407435483,1.838091352354668,-0.4141443110577347,0.9646944491312592,1.034317641193339,1.4286437366515674,0.7510560235323213,2,1,2025-02-04,2024A,0.8797,1.0,0.9263,0.7929,338,33,3,302,338,41,44.4,2025-12-10,2026-01-09,"Alphabet vs. Meta Platforms: Is One the Better Long-Term Play? | Google Claims Apple's Spot on Most-Valuable-Companies List | Exclusive: Big Tech spared strict rules in EU digital rule overhaul, sources say",0.9104,strong_keep,1.2,"quality=0.88, valuation=1.00, catalyst=0.93, risk=0.79",finrobot_outputs/GOOGL/analysis,0.2,0.24,0.30769230769230765
2026-01-09,AMAT,2025-09-30,2025-12-01,growth_tech,Stacking,0.0506727669886239,0.0629257916240102,-0.0849376604496226,0.0946029954411407,0.3830622815412499,0.0305336029395876,-0.0976920968665451,1.7105302202290036,2.121848123986605,1.8940199299729197,0.7007317594451222,1.2128291179354873,1.675211418581321,0.6191219711627548,3,1,2025-12-12,2025A,0.7299,0.73,0.8727,0.25,50,8,1,41,50,22,21.5,2025-12-10,2026-01-09,Analyzing Applied Materials (NASDAQ:AMAT) & Valens Semiconductor (NYSE:VLN) | Financial Contrast: Coda Octopus Group (NASDAQ:CODA) & Applied Materials (NASDAQ:AMAT) | NVDA vs. AMAT: Which Semiconductor Stock Is the Better Buy Now?,0.7105,keep,1.0,"quality=0.73, valuation=0.73, catalyst=0.87, risk=0.25",finrobot_outputs/AMAT/analysis,0.2,0.2,0.25641025641025644
2026-01-09,AMZN,2025-09-30,2025-12-01,cyclical,RF,0.0385132606496605,0.0184007402994992,-0.3244060340254743,0.0673052298976413,0.143213667824644,0.0147542086560183,-0.1451181126391793,1.260366366421478,0.5588387501773702,-0.26766620133015,-0.0976427034421641,0.7301257689859768,1.0084809204513474,0.2087487477652543,4,1,2025-02-06,2024A,0.5872,0.59,0.832,0.5479,327,37,11,279,327,69,73.3,2025-12-10,2026-01-09,"Exclusive: Big Tech spared strict rules in EU digital rule overhaul, sources say | Infosys Turns To AWS To Make GenAI Stick | Amazon vs. Nike: Which 1 Will Dominate the Next Decade?",0.6329,keep,1.0,"quality=0.59, valuation=0.59, catalyst=0.83, risk=0.55",finrobot_outputs/AMZN/analysis,0.2,0.2,0.25641025641025644
2026-01-09,TXN,2025-09-30,2025-12-01,growth_tech,Stacking,0.0562034950349235,0.0315455030255329,0.0239840681976806,0.0475588365522503,0.1038787149570303,0.0229691748604345,-0.1445554827637787,0.9347311962828988,0.3025066451143506,0.8577368524297265,-0.0881713338307944,0.3422921430556438,0.4727885388450795,0.2035058564566401,5,1,2025-02-14,2024A,0.6209,0.48,0.5333,0.25,32,0,1,31,32,14,14.3,2025-12-10,2026-01-09,"Texas Instruments to webcast Q4 2025 and 2025 earnings conference call | Texas Instruments Ahead Of Earnings: I See Stability, Not Urgency | Intel, AMD And Texas Instruments Sued Over Chips Allegedly Ending Up In Russian Weapons",0.5311,reduce,0.7,"quality=0.62, valuation=0.48, catalyst=0.53, risk=0.25",finrobot_outputs/TXN/analysis,0.2,0.13999999999999999,0.17948717948717946
