date,ticker,news_window_days,raw_news_count,filtered_news_count,news_count,positive_news,negative_news,neutral_news,high_impact_news,risk_news_count,risk_weighted_hits,historical_catalyst_score,historical_risk_score,news_start_date,news_end_date,top_news_titles
2026-01-02,AMAT,30,58,49,49,11,0,38,2,19,18.7,0.9462,0.25,2025-12-03,2026-01-02,NVDA vs. AMAT: Which Semiconductor Stock Is the Better Buy Now? | AI boom seen lifting chipmaking equipment sales 9% to $126 billion in 2026 | What Is Going On With AMAT Stock?
2026-01-02,AMD,30,215,163,163,25,6,132,32,31,33.2,0.8515,0.6031,2025-12-03,2026-01-02,Advanced Micro Devices Is the Most Compelling AI Trade for 2026 | AMD: Let's Talk About This Pick In '26 | AMD: Ultimate Gift For 2026 (Rating Upgrade)
2026-01-02,CSCO,30,54,38,38,5,0,33,5,15,14.9,0.9,0.25,2025-12-03,2026-01-02,Cisco's AI-Push Aids Networking Revenue: Is There More Upside Ahead? | Fortinet vs. Cisco: Which Cybersecurity Leader Has the Edge Now? | Why Is Cisco (CSCO) Up 2.4% Since Last Earnings Report?
2026-01-02,GOOGL,30,500,354,354,31,7,316,66,40,51.1,0.86,0.7805,2025-12-03,2026-01-02,"Google's 2026 Test: Slowing EPS Will Put Cloud Growth In The Spotlight | Alphabet Isn't Dead, It's Our Top 2026 Pick | MrBeast Warns YouTube Won't Be Easy To Beat When It Comes To 'Competing On Revenue' For Elon Musk's X: 'They're The Best Platform'"
2026-01-02,TSLA,30,500,355,355,11,9,335,40,69,77.6,0.6818,0.5745,2025-12-03,2026-01-02,Elon Musk gave nearly $100 million worth of Tesla shares to charity for 'tax planning' | Tesla publishes analyst forecasts suggesting sales set to fall | Is Tesla Warning Investors About What's to Come?
2026-01-09,AMAT,30,61,50,50,8,1,41,4,22,21.5,0.8727,0.25,2025-12-10,2026-01-09,Analyzing Applied Materials (NASDAQ:AMAT) & Valens Semiconductor (NYSE:VLN) | Financial Contrast: Coda Octopus Group (NASDAQ:CODA) & Applied Materials (NASDAQ:AMAT) | NVDA vs. AMAT: Which Semiconductor Stock Is the Better Buy Now?
2026-01-09,AMZN,30,500,327,327,37,11,279,48,69,73.3,0.832,0.5479,2025-12-10,2026-01-09,"Exclusive: Big Tech spared strict rules in EU digital rule overhaul, sources say | Infosys Turns To AWS To Make GenAI Stick | Amazon vs. Nike: Which 1 Will Dominate the Next Decade?"
2026-01-09,GOOGL,30,500,338,338,33,3,302,74,41,44.4,0.9263,0.7929,2025-12-10,2026-01-09,"Alphabet vs. Meta Platforms: Is One the Better Long-Term Play? | Google Claims Apple's Spot on Most-Valuable-Companies List | Exclusive: Big Tech spared strict rules in EU digital rule overhaul, sources say"
2026-01-09,TSLA,30,500,395,395,15,16,364,49,88,91.9,0.6394,0.5218,2025-12-10,2026-01-09,"Tesla's Story Has Faded, Gordon Johnson Says—Here's The 'Generous' Valuation Musk Probably Won't Retweet | Tesla stock: what's driving the spike in January options volume? | Should You Forget Tesla and Buy 3 Artificial Intelligence (AI) Stocks Instead?"
2026-01-09,TXN,30,63,32,32,0,1,31,3,14,14.3,0.5333,0.25,2025-12-10,2026-01-09,"Texas Instruments to webcast Q4 2025 and 2025 earnings conference call | Texas Instruments Ahead Of Earnings: I See Stability, Not Urgency | Intel, AMD And Texas Instruments Sued Over Chips Allegedly Ending Up In Russian Weapons"
2026-01-16,AMAT,30,59,44,44,7,1,36,4,19,19.0,0.86,0.25,2025-12-17,2026-01-16,Applied Materials FY25 HBM Revenues Hit $1.5B: A New Growth Driver? | Analyzing Applied Materials (NASDAQ:AMAT) & Valens Semiconductor (NYSE:VLN) | Financial Contrast: Coda Octopus Group (NASDAQ:CODA) & Applied Materials (NASDAQ:AMAT)
2026-01-16,AMD,30,306,239,239,31,5,203,39,38,38.2,0.8895,0.7071,2025-12-17,2026-01-16,White House Signals Trump's 25% 'National Security Levy' On Chips Is Just A 'Phase One' Measure | 5 AI Chip Stocks Most Exposed to Trump's New 25% Tariff | Why Advanced Micro Devices Stock Popped Today
